Directory,Length,Biggest Branch,Smallest Branch,Farthest Leaf,Closest Leaf,# of Leaves,# of Species,# of Paralogs,# of Human seqs
/home/gideon/Documents/mphil_internship/Trees/22/2252.nh,15.671634000000019,0.531148,0.0,"(Tree node 'ENSSSCP00000025807' (0x7fcbfb97c39), 1.2916979999999998)","(Tree node 'ENSGALP00000000958' (0x7fcbfb97c55), 0.24753899999999981)",135,59,76,0
/home/gideon/Documents/mphil_internship/Trees/22/2234.nh,23.18291099999999,1.41794,0.0,"(Tree node 'ENSXMAP00000000597' (0x7fcbfa272b1), 3.834576)","(Tree node 'Y110A2AM.3' (0x7fcbfa25cc9), 0.6976530000000001)",135,69,66,0
/home/gideon/Documents/mphil_internship/Trees/22/2260.nh,18.03046400000001,1.16495,0.0,"(Tree node 'ENSAMXP00000002362' (0x7fcbfa1f929), 1.8909249999999997)","(Tree node 'ENSLOCP00000005371' (0x7fcbfa1cf99), 0.713907)",135,67,68,0
/home/gideon/Documents/mphil_internship/Trees/22/2298.nh,20.835783999999986,0.571973,0.0,"(Tree node 'ENSCAFP00000040289' (0x7fcbf9f99d5), 1.2221130000000004)","(Tree node 'ENSLACP00000004366' (0x7fcbf9f8d39), 0.6341770000000004)",134,62,72,0
/home/gideon/Documents/mphil_internship/Trees/22/2268.nh,16.953389500000004,0.967378,0.0,"(Tree node 'YKL001C' (0x7fcbf9f4fbd), 0.9673779999999998)","(Tree node 'ENSLOCP00000007513' (0x7fcbf9fae05), 0.5494365)",135,68,67,0
/home/gideon/Documents/mphil_internship/Trees/22/2257.nh,40.02865300000003,3.373,0.0,"(Tree node 'ENSDARP00000129154' (0x7fcbf9f7011), 3.3730010000000004)","(Tree node 'ENSPMAP00000007563' (0x7fcbf9f8705), 0.8506780000000005)",135,62,73,0
/home/gideon/Documents/mphil_internship/Trees/22/2221.nh,22.80806800000002,2.26945,0.0,"(Tree node 'ENSCINP00000029820' (0x7fcbf9f8721), 2.26945)","(Tree node 'ENSLACP00000008646' (0x7fcbf9f87d9), 0.937414)",136,63,73,0
/home/gideon/Documents/mphil_internship/Trees/22/2225.nh,30.772565999999998,2.05672,0.0,"(Tree node 'ENSDARP00000129167' (0x7fcbf9f4649), 2.371691)","(Tree node 'ENSCINP00000009378' (0x7fcbf9f306d), 0.502573)",136,68,68,0
/home/gideon/Documents/mphil_internship/Trees/22/220.nh,91.41043899999987,1.05568,0.0,"(Tree node 'ENSTNIP00000017336' (0x7fcbf9e388d), 1.768357)","(Tree node 'ENSFALP00000001209' (0x7fcbf9decb5), 0.3694579999999995)",751,70,681,0
/home/gideon/Documents/mphil_internship/Trees/22/2265.nh,36.099635000000006,2.13962,0.0,"(Tree node 'ENSOANP00000031500' (0x7fcbf9d7c1d), 2.5495449999999997)","(Tree node 'ENSACAP00000012568' (0x7fcbf9d7c0d), 0.4099249999999999)",135,61,74,0
/home/gideon/Documents/mphil_internship/Trees/22/2229.nh,16.69080200000001,0.931284,0.0,"(Tree node 'ENSOANP00000026593' (0x7fcbf9ce171), 1.412007)","(Tree node 'ENSORLP00000008785' (0x7fcbf9ce1fd), 0.41081400000000007)",136,67,69,0
/home/gideon/Documents/mphil_internship/Trees/22/2284.nh,18.37599499999999,0.638691,0.0,"(Tree node 'ENSCAFP00000011683' (0x7fcbf9c95a5), 1.4103529999999997)","(Tree node 'FBpp0300970' (0x7fcbf9d0aed), 0.4174769999999999)",134,69,65,0
/home/gideon/Documents/mphil_internship/Trees/22/221.nh,1300118.9264649984,100000.0,0.0,"(Tree node 'ENSEEUP00000003330' (0x7fcbf9cac95), 200001.614108)","(Tree node 'ENSTGUP00000000613' (0x7fcbf9cac5d), 0.0)",751,72,679,0
/home/gideon/Documents/mphil_internship/Trees/22/2271.nh,16.784435000000002,0.793424,0.0,"(Tree node 'ENSLOCP00000014300' (0x7fcbf9bcba1), 1.5713299999999997)","(Tree node 'FBpp0075693' (0x7fcbf9b1f65), 0.5377579999999996)",135,68,67,0
/home/gideon/Documents/mphil_internship/Trees/22/2279.nh,18.980766499999998,0.993638,0.0,"(Tree node 'M01G5.3' (0x7fcbf9b439d), 1.1698060000000001)","(Tree node 'ENSPMAP00000008771' (0x7fcbf9b2d6d), 0.45218950000000013)",134,67,67,0
/home/gideon/Documents/mphil_internship/Trees/22/2215.nh,34.925630000000034,3.07732,0.0,"(Tree node 'ENSCINP00000014013' (0x7fcbf9b43b9), 4.32563)","(Tree node 'ENSPMAP00000002138' (0x7fcbf9aeddd), 0.6561259999999998)",136,66,70,0
/home/gideon/Documents/mphil_internship/Trees/22/2262.nh,14.356888999999986,0.633931,0.0,"(Tree node 'ENSSTOP00000022032' (0x7fcbf9a8e61), 1.1205440000000002)","(Tree node 'ENSLACP00000021131' (0x7fcbf9aa421), 0.3305810000000001)",135,47,88,0
/home/gideon/Documents/mphil_internship/Trees/22/2276.nh,16.955968000000002,1.62077,0.0,"(Tree node 'C39E9.14a.2' (0x7fcbf9aa445), 1.62077)","(Tree node 'ENSLOCP00000001652' (0x7fcbf9aba45), 0.7947060000000001)",134,67,67,0
/home/gideon/Documents/mphil_internship/Trees/22/2297.nh,19.46630799999999,0.982575,0.0,"(Tree node 'ENSGMOP00000006393' (0x7fcbf9a7a79), 1.4607030000000008)","(Tree node 'ENSLOCP00000020724' (0x7fcbf9a4fd1), 0.544288)",134,68,66,0
/home/gideon/Documents/mphil_internship/Trees/22/2204.nh,21.81928300000001,1.29071,0.0,"(Tree node 'ENSCPOP00000005089' (0x7fcbf9a11e9), 2.0977530000000004)","(Tree node 'C37H5.3a' (0x7fcbf9a7ac1), 1.4169090000000002)",136,70,66,0
/home/gideon/Documents/mphil_internship/Trees/22/2240.nh,21.15716100000002,1.68617,0.0,"(Tree node 'ENSACAP00000011876' (0x7fcbf99dc1d), 2.557157)","(Tree node 'ENSDARP00000072504' (0x7fcbf9a3275), 0.567276)",135,68,67,0
